Unnamed: 0,brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
784200,952,Great Dane Pub & Brewing Company (Downtown),1136269921,4.5,4.0,4.0,dirtylou,American IPA,4.0,4.0,Texas Speedbump IPA,,11846
1305265,29,Anheuser-Busch,1234830966,4.5,4.0,3.0,talkinghatrack,Light Lager,3.0,4.0,Bud Light Lime,4.2,41821
1526298,45,Brooklyn Brewery,1078599557,4.5,4.0,4.0,PopeJonPaul,Scotch Ale / Wee Heavy,4.0,4.5,Brooklyn Heavy Scotch Ale,7.5,16355
450647,590,New Glarus Brewing Company,1288790879,4.5,4.5,4.5,sweemzander,American Wild Ale,4.5,4.0,R&D Bourbon Barrel Kriek,5.5,60588
1223094,4,Allagash Brewing Company,1295320417,4.5,4.5,4.0,Jmoore50,American Wild Ale,4.0,4.0,Allagash Victor Francenstein,9.7,56665
609060,493,Cosmos Brewery (Thai Beverage Plc.),1322578304,3.0,3.0,2.5,krazyboi,American Adjunct Lager,2.5,3.0,Chang Beer (Export),5.0,39875
324853,447,Pabst Brewing Company,1193696641,4.0,2.0,3.0,CortexBomb,American Adjunct Lager,3.0,4.0,Pabst Blue Ribbon (PBR),4.74,1331
924200,75,Grupo Modelo S.A. de C.V.,1277714791,4.0,2.5,3.0,DovaliHops,Munich Dunkel Lager,3.0,3.0,Negra Modelo,5.4,667
34961,1199,Founders Brewing Company,1271918658,4.5,4.5,3.5,Destral,American Double / Imperial Stout,4.0,5.0,Founders KBS (Kentucky Breakfast Stout),11.2,19960
426580,666,Emerson's Brewery,1192461083,5.0,4.0,4.5,Lukie,English India Pale Ale (IPA),4.0,5.0,1812 India Pale Ale,4.7,4594
1250129,1480,Matilda Bay Brewing Co.,1159680113,4.0,4.5,4.0,vancurly,American Pale Ale (APA),4.0,4.0,Alpha Pale Ale,5.2,26053
691173,252,Bayerische Staatsbrauerei Weihenstephan,1211325075,4.0,3.5,4.0,MrHungryMonkey,Weizenbock,3.5,4.0,Weihenstephaner Vitus,7.7,35625
301022,35,Boston Beer Company (Samuel Adams),1286510708,4.5,4.0,4.0,Chico1985,Schwarzbier,4.0,4.0,Samuel Adams Black Lager,4.9,21300
853950,13307,Mikkeller ApS,1308702939,4.0,4.0,4.0,ckollias,Russian Imperial Stout,3.5,3.5,Black Hole (Bourbon Edition),13.1,58694
619238,10097,Harpoon Brewery,1305246279,4.0,4.0,4.0,donkeyrunner,English Barleywine,4.0,4.0,Harpoon Leviathan - Barleywine Style Ale,10.0,63719
1522255,45,Brooklyn Brewery,1234761492,3.5,4.5,5.0,BirdFlu,Russian Imperial Stout,4.0,4.0,Brooklyn Black OPS,10.7,40149
571281,9897,Jolly Pumpkin Artisan Ales,1303270119,4.5,4.0,4.0,kwjd,Belgian Strong Dark Ale,4.0,4.0,Noel De Calabaza,9.0,39267
969155,222,Brouwerij Duvel Moortgat NV,1237420364,3.5,4.0,4.5,brianlg,Belgian Strong Pale Ale,4.5,4.5,Duvel,8.5,695
511521,16205,Saint Somewhere Brewing Company,1268267899,3.5,3.0,3.5,nick76,Saison / Farmhouse Ale,3.5,3.5,Lectio Divina,8.0,38427
151027,3818,Southern Tier Brewing Company,1204153289,4.0,4.5,4.0,WillieMoe,American Barleywine,4.0,4.0,Backburner (Imperial Barley Wine Style Ale),9.6,36185
477150,13271,Les Brasseurs,1290272294,1.5,1.0,3.0,eduardolinhalis,Fruit / Vegetable Beer,1.0,1.0,La Keriche,,53932
1221043,4,Allagash Brewing Company,1292695533,2.5,3.0,4.0,BobZ,Tripel,3.0,3.0,Allagash Curieux (Bourbon Barrel-Aged Tripel),11.0,16909
570684,9897,Jolly Pumpkin Artisan Ales,1142467906,4.0,3.5,4.0,DavidFBN,Bière de Garde,3.5,4.0,Oro De Calabaza,8.0,18975
1464191,96,Magic Hat Brewing Company,1279653621,3.0,3.5,2.5,wcintula,Fruit / Vegetable Beer,2.5,3.0,#9,5.1,299
728901,17963,Nectar Ales,1312873910,3.5,4.0,3.5,Sensaray,American IPA,3.5,3.5,IPA Nectar,6.8,9024
61449,16866,The Bruery,1258155486,5.0,4.5,4.5,azagthoth,Quadrupel (Quad),5.0,5.0,Partridge In A Pear Tree Barrel Aged,11.0,53673
745463,12877,NINE G Brewing Company,1189556274,4.0,4.5,4.0,Phatz,American Double / Imperial IPA,4.0,4.5,Infidel Imperial IPA,8.4,31041
1344618,201,Brouwerij De Dolle Brouwers,1080400955,4.0,4.0,4.5,PatandDavid,Tripel,4.0,4.0,De Dolle Dulle Teve (Mad Bitch),10.0,1116
94239,140,Sierra Nevada Brewing Co.,1269655771,4.0,4.5,4.5,CaptainIPA,American IPA,4.5,4.5,Sierra Nevada Torpedo Extra IPA,7.2,30420
1176580,10099,Dogfish Head Brewery,1312674679,4.0,4.0,4.0,babaracas,Witbier,4.0,4.5,Namaste,5.0,53453
1426327,385,Midnight Sun Brewing Co.,1221444612,5.0,4.5,4.5,TheManiacalOne,American Double / Imperial IPA,4.5,5.0,Cohoho Imperial IPA,8.0,3500
626558,262,Shmaltz Brewing Company,1223524417,2.5,2.5,3.0,toolbrew,American Brown Ale,3.0,3.0,He'Brew Messiah Bold,5.6,12694
